,Unnamed: 0,Performance,Video URL,video
196,196,0.7957545427,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-816335920524988,Video/video_196.mp4
197,197,1.679032651,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-815391233916449,Video/video_197.mp4
198,198,1.30342631,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-814072014151046,Video/video_198.mp4
199,199,0.8280654343,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-813828049840959,Video/video_199.mp4
200,200,1.724557255,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-811606650922029,Video/video_200.mp4
201,201,0.5342824908,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8111507755613955,Video/video_201.mp4
202,202,0.6418494688,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8100667816697710,Video/video_202.mp4
203,203,1.641111881,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-809480737932683,Video/video_203.mp4
204,204,0.811158994,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-808321904744283,Video/video_204.mp4
205,205,0.4548633707,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-808097524590260,Video/video_205.mp4
206,206,0.02246290137,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-807800198130528,Video/video_206.mp4
207,207,1.069401708,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-806751788307038,Video/video_207.mp4
208,208,0.3984057301,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8057957437624799,Video/video_208.mp4
209,209,1.509995212,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-803990118540094,Video/video_209.mp4
210,210,0.01464474107,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-803897110603133,Video/video_210.mp4
211,211,0.6380125015,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-802443478544141,Video/video_211.mp4
212,212,1.499374534,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-8008073409211713,Video/video_212.mp4
213,213,0.03914690251,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-7995631707140182,Video/video_213.mp4
214,214,1.152062484,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-797179088937277,Video/video_214.mp4
215,215,1.776014381,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-797024995612413,Video/video_215.mp4
216,216,1.137190885,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-796944101940903,Video/video_216.mp4
217,217,1.50274511,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-793257836073148,Video/video_217.mp4
218,218,1.009444041,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-791572172961239,Video/video_218.mp4
219,219,1.649137745,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-790055392972248,Video/video_219.mp4
220,220,1.74217822,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-789793989900194,Video/video_220.mp4
221,221,0.1227666218,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-789715035654710,Video/video_221.mp4
222,222,1.319179105,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-786610583313461,Video/video_222.mp4
223,223,0.7399450167,https://fgimagestorage.blob.core.windows.net/facebook-assets/hd-696006115320413,Video/video_223.mp4
